id,building_id,battery_type,status,employee_id,date_of_commissioning,operations_certificate,last_inspection_date,information,notes,created_at,updated_at
60,60,Hybrid,Active,60,2016-12-15 15:21:32,55056-0818,2018-12-10 14:24:17,Upgradable asynchronous emulation,Etiam vel augue. Vestibulum rutrum rutrum neque.,2017-01-06 21:05:56,2017-11-18 21:49:22
61,61,Residential,Active,61,2017-04-02 23:41:40,54868-3533,2019-03-07 16:09:58,Centralized explicit architecture,Morbi a ipsum.,2017-03-21 17:12:02,2018-10-16 06:09:19
62,62,Corporate,Active,62,2016-03-13 15:33:56,0004-0244,2018-10-20 07:03:53,Profit-focused modular open system,Praesent blandit. Nam nulla.,2017-01-01 17:09:54,2017-12-28 00:41:48
63,63,Commercial,Active,63,2017-12-17 12:31:38,0703-4156,2018-12-30 09:17:32,Networked high-level database,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,2016-06-04 04:03:11,2018-01-14 19:20:25
64,64,Hybrid,Inactive,64,2016-07-08 17:52:23,0093-1026,2018-11-27 00:29:15,Organized fresh-thinking moderator,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",2016-10-18 13:10:13,2018-11-07 02:08:50
65,65,Residential,Active,65,2016-11-23 12:50:59,51079-409,2018-09-28 15:23:30,Persevering human-resource matrices,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",2017-05-13 18:46:21,2018-06-23 07:19:55
66,66,Corporate,Active,66,2016-04-28 06:38:25,61355-569,2018-08-30 21:44:55,Universal mobile Graphical User Interface,Nunc purus. Phasellus in felis.,2016-05-11 13:52:05,2018-04-23 07:07:33
67,67,Commercial,Active,67,2017-12-27 18:31:09,31722-341,2019-02-11 15:52:03,Adaptive bottom-line adapter,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,2017-05-08 15:19:26,2017-09-17 15:28:36
68,68,Hybrid,Active,68,2017-08-31 04:58:57,24330-110,2018-12-31 11:02:29,Optimized exuding frame,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,2016-11-28 19:28:18,2018-07-22 06:19:11
69,69,Residential,Active,69,2018-01-22 01:37:17,65923-498,2019-02-06 00:24:47,Ergonomic bi-directional hierarchy,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,2016-09-13 03:32:59,2017-06-17 12:01:08
70,70,Corporate,Active,70,2017-04-07 14:17:11,43742-0473,2018-11-11 16:46:19,Enterprise-wide homogeneous product,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",2016-09-28 20:59:20,2018-12-02 01:41:25
71,71,Commercial,Active,71,2017-12-04 01:52:19,51393-6888,2018-07-28 09:20:45,Advanced radical intranet,Nulla tellus. In sagittis dui vel nisl.,2016-11-07 13:15:17,2018-06-16 22:39:31
72,72,Hybrid,Active,72,2016-06-27 20:20:47,0555-0874,2018-09-01 03:01:55,Multi-layered background function,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",2016-07-20 19:46:28,2018-07-08 20:35:22
73,73,Residential,Active,73,2017-12-15 19:29:21,0268-0620,2018-11-21 11:13:00,Customizable analyzing algorithm,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",2017-02-28 21:46:29,2018-02-16 15:19:27
74,74,Corporate,Active,74,2016-05-12 04:58:08,36987-1281,2018-10-18 07:51:09,Distributed bi-directional projection,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,2016-06-27 20:38:35,2017-07-16 20:14:50
75,75,Commercial,Active,75,2017-04-03 05:07:18,50390-113,2019-01-04 04:04:25,Exclusive static open architecture,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",2016-03-25 14:45:36,2019-02-24 17:56:26
76,76,Hybrid,Active,76,2017-12-28 09:11:00,52559-576,2018-10-20 20:51:23,Inverse scalable superstructure,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",2017-01-15 07:39:06,2017-11-12 14:43:21
77,77,Residential,Intervention,77,2017-12-18 03:20:40,60429-313,2018-07-17 12:39:31,Synergistic intermediate matrix,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",2016-05-17 15:03:29,2019-01-29 21:25:33
78,78,Corporate,Active,78,2016-05-10 02:14:54,10544-149,2018-12-10 16:59:55,Advanced background strategy,In hac habitasse platea dictumst.,2016-05-21 10:24:41,2017-07-28 04:30:45
79,79,Commercial,Active,79,2017-03-13 03:58:36,54868-1986,2018-07-12 13:08:46,Centralized exuding middleware,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",2017-06-11 03:13:53,2018-02-22 21:13:52
80,80,Hybrid,Active,80,2017-03-11 11:24:36,10812-121,2018-10-06 11:15:34,Multi-layered optimizing capacity,Maecenas pulvinar lobortis est.,2017-01-30 06:54:46,2018-04-24 02:07:01
81,81,Residential,Active,81,2016-12-07 00:14:39,0781-3407,2018-07-03 08:33:08,Total encompassing encryption,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",2017-01-21 02:05:46,2018-05-17 08:57:10
82,82,Corporate,Intervention,82,2017-05-04 20:29:09,11084-161,2018-09-20 05:41:32,Re-contextualized composite algorithm,In sagittis dui vel nisl. Duis ac nibh.,2016-10-25 19:47:24,2019-01-26 15:38:45
83,83,Commercial,Active,83,2016-11-23 07:22:51,37000-381,2018-06-16 04:04:14,Customer-focused composite product,Phasellus in felis. Donec semper sapien a libero.,2016-12-16 04:22:21,2018-07-16 12:22:00
84,84,Hybrid,Active,84,2017-12-20 07:22:29,68084-048,2018-10-01 23:39:56,Multi-lateral transitional software,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,2017-01-17 00:27:58,2017-11-27 01:09:43
85,85,Residential,Active,85,2016-08-02 13:33:13,67510-0016,2018-07-31 00:00:57,Profound national initiative,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,2016-03-23 10:00:32,2018-04-01 18:55:55
86,86,Corporate,Active,86,2016-09-30 03:28:08,0168-0277,2018-07-13 01:56:47,Visionary content-based paradigm,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",2016-10-02 09:04:05,2019-02-21 06:58:47
87,87,Commercial,Active,87,2018-02-11 03:50:20,48951-1031,2018-11-03 22:29:56,Networked optimizing knowledge base,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",2016-07-05 20:35:09,2018-05-13 08:16:57
88,88,Hybrid,Intervention,88,2018-01-22 17:57:25,61786-005,2018-11-25 00:51:57,Ergonomic explicit instruction set,Aliquam non mauris.,2017-05-03 01:38:12,2018-07-01 03:38:15
89,89,Residential,Active,89,2016-11-21 01:18:22,54868-5545,2019-02-25 12:38:22,Adaptive reciprocal database,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",2016-10-26 05:48:09,2017-09-08 02:02:39
90,90,Corporate,Active,90,2016-07-03 17:45:48,16590-061,2018-08-04 11:16:36,Reduced holistic concept,Praesent blandit lacinia erat.,2016-05-15 01:28:35,2018-01-27 16:25:26
91,91,Commercial,Active,91,2016-07-23 20:03:37,51660-140,2018-12-13 18:05:10,Operative composite support,Etiam faucibus cursus urna.,2016-09-17 06:08:36,2018-03-20 19:02:29
92,92,Hybrid,Active,92,2017-03-09 03:07:33,41163-400,2018-09-14 20:07:14,Re-engineered transitional protocol,Morbi non quam nec dui luctus rutrum. Nulla tellus.,2017-04-17 14:01:20,2018-10-01 03:10:30
93,93,Residential,Active,93,2016-09-16 00:53:13,52686-230,2018-12-08 08:33:25,Balanced leading edge architecture,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,2016-06-16 07:37:16,2018-07-07 03:04:34
94,94,Corporate,Active,94,2017-12-14 16:30:55,51850-001,2019-02-12 19:52:32,Integrated stable throughput,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",2017-01-28 16:03:44,2018-11-25 16:47:58
95,95,Commercial,Active,95,2017-12-22 17:01:20,58165-031,2018-12-16 17:55:41,Extended 6th generation database,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",2017-04-08 11:08:07,2018-01-20 22:03:33
96,96,Hybrid,Inactive,96,2017-11-27 12:48:59,49825-125,2018-12-02 17:38:26,Managed systematic array,Suspendisse potenti. In eleifend quam a odio.,2016-10-24 17:36:40,2017-10-17 10:39:15
97,97,Residential,Active,97,2016-11-16 01:37:20,14783-030,2018-12-23 10:28:57,Implemented stable toolset,Donec dapibus. Duis at velit eu est congue elementum.,2016-04-18 23:36:21,2018-05-01 03:02:26
98,98,Corporate,Inactive,98,2017-08-23 18:22:42,24236-577,2019-02-28 04:18:06,Up-sized reciprocal neural-net,Phasellus in felis. Donec semper sapien a libero.,2016-11-23 05:38:10,2018-11-19 04:47:38
99,99,Commercial,Active,99,2017-06-11 07:42:43,66738-701,2018-09-04 07:47:31,Upgradable attitude-oriented challenge,Phasellus id sapien in sapien iaculis congue.,2016-08-11 06:36:02,2017-06-22 07:54:45
100,100,Hybrid,Active,100,2018-01-14 08:20:12,11523-0096,2018-10-21 11:49:05,Organic didactic capability,Nullam molestie nibh in lectus.,2017-01-11 04:46:59,2017-07-12 14:19:21
101,101,Residential,Active,101,2016-04-16 12:08:35,13537-150,2019-03-01 02:24:42,Robust maximized emulation,Suspendisse potenti.,2016-03-23 23:30:37,2018-03-07 18:03:02
102,102,Corporate,Active,102,2016-05-31 11:24:12,68703-116,2018-07-19 09:43:38,Re-contextualized contextually-based task-force,Mauris lacinia sapien quis libero.,2016-06-06 10:20:09,2019-03-06 00:01:28
103,103,Commercial,Inactive,103,2017-03-05 23:39:01,50419-759,2018-11-12 03:29:53,Decentralized responsive core,Nunc rhoncus dui vel sem.,2017-03-29 23:19:18,2018-07-15 04:15:49
104,104,Hybrid,Active,104,2017-12-08 18:39:55,43063-358,2018-10-29 11:38:34,Pre-emptive empowering standardization,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",2017-05-14 00:53:06,2018-03-28 00:27:54
105,105,Residential,Active,105,2017-09-08 17:41:16,10237-735,2018-09-28 22:09:41,Inverse user-facing extranet,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",2017-05-23 07:21:27,2017-12-28 17:35:05
106,106,Corporate,Active,106,2016-06-08 22:46:56,0054-0259,2019-02-07 05:52:48,Phased methodical knowledge user,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",2016-04-04 10:01:33,2019-01-01 03:01:17
107,107,Commercial,Active,107,2018-01-29 05:23:43,48951-1149,2018-12-30 02:35:09,Switchable secondary toolset,Proin at turpis a pede posuere nonummy.,2017-02-12 03:29:23,2018-05-18 21:33:48
108,108,Hybrid,Intervention,108,2016-03-20 13:19:33,60533-006,2018-08-17 16:13:35,Inverse dedicated framework,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",2016-09-15 22:53:48,2017-08-12 13:01:27
109,109,Residential,Active,109,2016-06-13 23:26:47,46122-188,2018-12-05 14:04:08,Upgradable responsive structure,Integer a nibh. In quis justo.,2017-04-05 18:39:05,2019-01-02 08:52:32
110,110,Corporate,Active,110,2017-08-14 01:08:39,67046-026,2019-02-28 14:54:34,Profit-focused 6th generation structure,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",2016-04-20 04:50:20,2018-08-17 16:53:05
111,111,Commercial,Active,111,2016-03-23 16:31:15,36987-2109,2018-07-03 08:13:08,Monitored heuristic application,Duis bibendum. Morbi non quam nec dui luctus rutrum.,2016-12-26 12:55:02,2018-09-07 20:26:58
112,112,Hybrid,Active,112,2017-04-22 23:52:32,10812-432,2018-07-17 03:26:48,Expanded secondary analyzer,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",2017-04-09 05:32:52,2018-02-05 15:51:15
113,113,Residential,Active,113,2017-01-27 19:09:23,67015-0003,2019-03-07 12:04:37,Re-engineered demand-driven process improvement,Morbi non quam nec dui luctus rutrum. Nulla tellus.,2016-08-19 19:57:28,2018-03-25 21:44:58
114,114,Corporate,Active,114,2016-11-11 12:34:23,11523-7283,2018-11-30 05:38:38,Extended systemic open system,Pellentesque at nulla. Suspendisse potenti.,2016-05-03 20:12:12,2018-04-05 07:44:56
115,115,Commercial,Intervention,115,2017-12-21 02:53:49,0363-0450,2019-02-02 17:44:19,Synchronised intangible leverage,Integer tincidunt ante vel ipsum.,2016-05-25 01:50:33,2018-02-02 03:18:17
116,116,Hybrid,Active,116,2017-01-17 15:14:47,0143-2128,2019-03-06 07:00:52,Monitored executive hierarchy,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",2016-04-28 02:56:41,2018-07-12 03:54:43
117,117,Residential,Active,117,2017-05-04 09:01:24,59148-641,2018-11-16 23:11:39,Polarised composite concept,Sed accumsan felis. Ut at dolor quis odio consequat varius.,2017-05-19 15:48:11,2018-11-17 13:28:58
118,118,Corporate,Active,118,2017-04-12 19:09:51,0363-0829,2019-01-01 08:05:59,De-engineered holistic synergy,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,2017-02-21 02:55:15,2018-11-25 00:13:29
119,119,Commercial,Inactive,119,2017-12-09 04:06:28,55648-991,2019-03-11 08:33:43,Polarised secondary workforce,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",2017-04-23 23:09:49,2018-05-26 14:55:09
120,120,Hybrid,Active,120,2017-07-10 01:02:31,35356-948,2019-03-06 02:35:13,Face to face zero tolerance extranet,Nunc nisl.,2016-06-12 12:11:55,2018-05-01 01:09:48
121,121,Residential,Active,121,2016-11-17 16:55:51,37000-104,2018-10-25 01:45:37,Self-enabling 5th generation migration,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",2016-09-14 07:16:09,2017-08-12 15:25:11
